Y1M5JaHl, 08.04.2023 16:00, Liverpool, Arsenal, 30, Scheduled, 0, 0, X
Y3LlGW93, 04.02.2023 17:00, Brighton, Bournemouth, 22, Scheduled, 0, 0, X
Y3qe4Egf, 02.01.2023 17:00, Everton, Brighton, 19, Scheduled, 0, 0, X
Y7exyhTu, 05.11.2022 17:00, Aston Villa, Manchester Utd, 15, Scheduled, 0, 0, X
Y7uusodT, 12.11.2022 17:00, Tottenham, Leeds, 16, Scheduled, 0, 0, X
Y35QJggs, 14.01.2023 17:00, Brighton, Liverpool, 20, Scheduled, 0, 0, X
Y73gWr01, 18.02.2023 17:00, Tottenham, West Ham, 24, Scheduled, 0, 0, X
YF5vJ4k4, 27.08.2022 16:00, Brighton, Leeds, 4, Scheduled, 0, 0, X
YJLx0Txk, 13.05.2023 16:00, Leeds, Newcastle, 36, Scheduled, 0, 0, X
YPdPS9g9, 11.02.2023 17:00, Crystal Palace, Brighton, 23, Scheduled, 0, 0, X
YRVvrtaD, 25.02.2023 17:00, West Ham, Nottingham, 25, Scheduled, 0, 0, X
YTWCmVCo, 12.11.2022 17:00, Bournemouth, Everton, 16, Scheduled, 0, 0, X
YZP3LcB2, 31.08.2022 20:30, Bournemouth, Wolves, 5, Scheduled, 0, 0, X
YaVxaYZ4, 11.03.2023 17:00, Leeds, Brighton, 27, Scheduled, 0, 0, X
Yewg77jh, 20.08.2022 16:00, Everton, Nottingham, 3, Scheduled, 0, 0, X
YgxnR5yl, 28.05.2023 17:00, Crystal Palace, Nottingham, 38, Scheduled, 0, 0, X
Yoj4pZKB, 04.03.2023 17:00, Manchester City, Newcastle, 26, Scheduled, 0, 0, X
YqPAv7hL, 18.02.2023 17:00, Chelsea, Southampton, 24, Scheduled, 0, 0, X
YqmPT4dg, 22.04.2023 16:00, Crystal Palace, Everton, 32, Scheduled, 0, 0, X
Ys2LghGF, 06.05.2023 16:00, Liverpool, Brentford, 35, Scheduled, 0, 0, X
YucDC6Mf, 20.05.2023 16:00, Nottingham, Arsenal, 37, Scheduled, 0, 0, X
b7f7plw2, 06.05.2023 16:00, Wolves, Aston Villa, 35, Scheduled, 0, 0, X
bBjjEkNI, 14.01.2023 17:00, Tottenham, Arsenal, 20, Scheduled, 0, 0, X
bFEEDOVE, 20.10.2022 20:30, Brentford, Chelsea, 12, Scheduled, 0, 0, X
bFj63v87, 19.10.2022 21:15, Manchester Utd, Tottenham, 12, Scheduled, 0, 0, X
bH5C1cLM, 09.10.2022 20:00, Everton, Manchester Utd, 10, Scheduled, 0, 0, X
bP98dfWd, 06.05.2023 16:00, Bournemouth, Chelsea, 35, Scheduled, 0, 0, X
bRvFx0uO, 26.04.2023 20:45, Southampton, Bournemouth, 33, Scheduled, 0, 0, X
bTNQ1zjn, 11.03.2023 17:00, Crystal Palace, Manchester City, 27, Scheduled, 0, 0, X
beU6LCTh, 29.10.2022 16:00, Brighton, Chelsea, 14, Scheduled, 0, 0, X
boNcr4Bn, 25.04.2023 20:45, Nottingham, Brighton, 33, Scheduled, 0, 0, X
d2rT9klN, 18.03.2023 17:00, Manchester City, West Ham, 28, Scheduled, 0, 0, X
d6IGUA7a, 21.01.2023 17:00, Leeds, Brentford, 21, Scheduled, 0, 0, X
d8NOBd1K, 02.01.2023 17:00, Aston Villa, Wolves, 19, Scheduled, 0, 0, X
djISpEvE, 10.09.2022 16:00, Bournemouth, Brighton, 7, Scheduled, 0, 0, X
djfk7M8r, 20.10.2022 20:30, Leicester, Leeds, 12, Scheduled, 0, 0, X
dtklhQMK, 25.02.2023 17:00, Everton, Aston Villa, 25, Scheduled, 0, 0, X
